//±аєЕЈЁµАѕЯidЈ©	µАѕЯГы	ѕ«Б¶МШР§±нПЦАаРН1   ЈЁ№Ґ»чПµЈ©	ѕ«Б¶МШР§±нПЦАаРН2   (Defensive Series)	ѕ«Б¶МШР§±нПЦАаРН3   (Poison Series)	ѕ«Б¶МШР§±нПЦАаРН4   (ФцТжЧґМ¬ПµЈ©	ѕ«Б¶МШР§±нПЦАаРН5   ЈЁ№Ґ»чПµЈ«·АУщПµЈ©	ѕ«Б¶МШР§±нПЦАаРН6      ЈЁ№Ґ»чПµЈ«¶ѕё±ЧґМ¬ПµЈ©	ѕ«Б¶МШР§±нПЦАаРН7   ЈЁ№Ґ»чПµЈ«ФцТжЧґМ¬ПµЈ©	ѕ«Б¶МШР§±нПЦАаРН8   ЈЁ·АУщ+¶ѕЈ©	ѕ«Б¶МШР§±нПЦАаРН9   ЈЁ·АУщ+ФцТжЈ©	ѕ«Б¶МШР§±нПЦАаРН10   ЈЁ¶ѕ+ФцТжЈ©	ѕ«Б¶МШР§±нПЦАаРН11   ЈЁ№Ґ»ч+·АУщ+¶ѕЈ©	ѕ«Б¶МШР§±нПЦАаРН12   ЈЁ№Ґ»ч+·АУщ+ФцТжЈ©	ѕ«Б¶МШР§±нПЦАаРН13   ЈЁ№Ґ»ч+¶ѕ+ФцТжЈ©	ѕ«Б¶МШР§±нПЦАаРН14   ЈЁ·АУщ+¶ѕ+ФцТжЈ©	Lance's forging base effect value	їЁОчЛ№ѕ«Б·Р§№ы»щЧјЦµ	·ЖАы¶ыѕ«Б·Р§№ы»щЧјЦµ	°¬ГЧѕ«Б·Р§№ы»щЧјЦµ
0004	Змеиный меч	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
0005	Ослепляющий меч	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
0006	Меч дракона	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
0007	Священный меч	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.7	1.1	1	0.7
0008	Нож новичка	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
0009	Меч новичка	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
0015	Крис-меч	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
0016	Меч паладина	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
0017	Костянной меч	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
0018	Громовой клинок	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
0019	Ониксовый меч	2	8	0	52	52	0	52	0	52	0	0	52	0	0	0.6	1	1	0.7
0020	Меч бунтаря	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
0021	Ободряющий меч	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
0022	Сабля	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
0023	Меч иллюзий	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
0039	Изящный пистолет	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
0040	Изящный аркебуз	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
0041	Лазерная винтовка	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
0042	Отравляющее оружие	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
0043	Мушкет солнца	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
0044	Пистолет со знаком	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
0045	Многоствольный мушкет	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
0076	Лунный крис	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
0077	Кинжал гиены	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
0078	Кинжал гидры	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
0079	Трезубец Посейдона	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
0083	Кристальный крис	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
0084	Вампирский крис	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
0100	Жезл милосердия	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
0101	Зверопалочка	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
0102	Громоградский посох	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
0103	Посох жизни	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
0107	Боевой посох	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
0108	Посох лотоса	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
0109	Посох чудес	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
0110	Посох уважения	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
0111	Жезл бича демонов	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
0112	Малиновая ветвь	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
0113	Драко	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
0114	Дракан	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
0115	Утес	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
0116	Колосс	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
0150	Воздушный винт	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.5
0151	Расщепленная душа	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.6
0771	Большой меч заклинаний	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
0772	Рык исчезновения	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
0773	Правосудие потаенного	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
0774	Клинок заклинаний	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
0775	Танец исчезновения	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
0776	Клинок потаенного	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.8	1.2	1	0.7
0782	Поцелуй проклятого	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
0783	Вопль исчезновения	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
0784	Аркебуз потаенного	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
0786	Посох заклинаний	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
0787	Посох исчезновения	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
0788	Посох потаенного	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
0793	Посох Кабалы	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
0794	Посох миражей	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
0795	Посох сфинкса	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
0800	Зуб проклятого	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
0801	Зуб исчезновения	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
0802	Крис сфинкса	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
0845	Труп черного дракона	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
1372	Благочестивый меч	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
1373	Кавалерийская сабля	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
1374	Серый меч Даркана	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
1376	Королевская летучая мышь-вампир	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1.1	1	0.7
1377	Обычный меч бунтаря	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
1378	Огненный меч Даркана	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
1381	Меч защитника	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
1382	Меч завоевателя	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
1383	Меч души Даркана	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
1385	Крылья смерти	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1.1	1	0.7
1386	Улучшенный меч бунтаря	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
1387	Ржавый меч	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
1391	Изумрудный клинок	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
1392	Стальная сабля	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
1393	Поющий меч Даркана	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
1394	Меч рассвета	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
1398	Туземный меч	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
1399	Янтарный меч	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
1408	Небольшой пистолет	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
1409	Боевой аркебуз	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
1410	Священный суд	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
1411	Поцелуй змеи	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
1412	Электрошокер	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
