//
0001	Короткий меч	w0001	10100001	01010001	02010001	0	0	0	0	1	0	0	0	7	1	1	1	1	1	1	1	1015	2,1	10	1,8,9,10	0	0	9,6	-1	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	30,58	38,70	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0	0	Меч, который немного короче	0
0002	Длинный меч	w0002	10100001	01010002	02010002	0	0	0	0	1	0	0	0	7	1	1	1	1	1	1	1	4897	2,1	20	1,8,9,10	0	0	9,6	-1	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	56,80	70,98	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0	0	Меч, который немного длиннее	0
0003	Шпага	w0003	10100001	01010003	02010003	0	0	0	0	1	0	0	0	6	1	1	1	1	1	1	1	12948	2,1	30	1,8,9,10	0	0	9,6	-1	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,11	0,11	0,11	0,11	0,11	0,0	0,0	0,0	79,89	97,111	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0	0	Меч, изготовленный в западной стране. Легкий и быстрый. 	0
0004	Змеиный меч	w0004	10100001	01010004	02010004	0	0	0	0	1	0	0	0	6	1	1	1	1	1	1	1	26123	1	40	9,10	0	0	9,6	-1	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,12	0,12	0,12	0,12	0,12	0,0	0,0	0,0	89,97	109,121	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0	0	0	0
0005	Ослепляющий меч	w0005	10100001	01010005	02010005	0	0	0	0	1	0	0	0	5	1	1	1	1	1	1	1	45219	1	50	9,10	0	0	9,6	-1	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,13	0,13	0,13	0,13	0,13	0,0	0,0	0,0	102,118	126,146	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0	0	0	0
0006	Меч дракона	w0006	10100001	01010006	02010006	0	0	0	0	1	0	0	0	4	1	1	1	1	1	1	1	70938	1	60	9,10	0	0	9,6	-1	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,15	0,15	0,15	0,15	0,15	0,0	0,0	0,0	118,134	146,166	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0	0	0	0
0007	Священный меч	w0007	10100001	01010007	02010007	0	0	0	0	1	0	0	0	4	1	1	1	1	1	1	1	103915	1	70	9,10	0	0	9,6	-1	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,17	0,17	0,17	0,17	0,17	0,0	0,0	0,0	134,148	164,182	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0	0	0	0
0008	Нож новичка	w0092	10100001	01010008	02010008	03010008	04010008	0	0	1	0	0	0	0	0	1	1	1	1	1	1	27	-1	1	-1	0	0	9	9,6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	14,14	18,18	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0	0	0	0
0009	Меч новичка	w0092	10100001	01010008	02010008	03010008	04010008	0	0	1	0	0	0	0	0	1	1	1	1	1	1	100	-1	7	-1	0	0	9	9,6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	29,30	33,38	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0	0	0	0
0010	Короткий железный меч	w0260	10100001	01010009	02010009	0	0	0	0	1	0	0	0	7	1	1	1	1	1	1	1	2403	2,1	15	1,8,9,10	0	0	9,6	-1	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	44,68	54,86	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0	0	0	0
