[02-28 16:04:35]135,Стрела 01, Character ID:1
[02-28 16:04:35]149,Порох 01, Character ID:1
[02-28 16:04:35]200,Левая гипсовая перчатка, Character ID:1
[02-28 16:04:35]201,Левая перчатка драчуна, Character ID:1
[02-28 16:04:35]202,Левая перчатка мастера, Character ID:1
[02-28 16:04:35]203,Левое зубчатое лезвие, Character ID:1
[02-28 16:04:35]204,Левый астральный клинок, Character ID:1
[02-28 16:04:35]205,Левая тигровая перчатка, Character ID:1
[02-28 16:04:35]206,Левая рука смерти, Character ID:1
[02-28 16:04:35]635,Коралл удара 1 ур., Character ID:2
[02-28 16:04:35]636,Коралл удара 2 ур., Character ID:2
[02-28 16:04:35]637,Коралл удара 3 ур., Character ID:2
[02-28 16:04:35]638,Коралл удара 4 ур. , Character ID:2
[02-28 16:04:35]639,Коралл удара 5 ур. , Character ID:2
[02-28 16:04:35]1124,Каменный торс Хаоса, Character ID:1
[02-28 16:04:35]1125,Каменная рука Хаоса, Character ID:1
[02-28 16:04:35]1126,Каменная нога Хаоса, Character ID:1
[02-28 16:04:35]1127,Коронационный камень Хаоса, Character ID:4
[02-28 16:04:35]1999,Неудавшаяся прическа Ланса 1, Character ID:2
[02-28 16:04:35]2000,Прическа 1, Character ID:2
[02-28 16:04:35]2001,Прическа 2, Character ID:2
[02-28 16:04:35]2002,Прическа 3, Character ID:2
[02-28 16:04:35]2003,Прическа 4, Character ID:2
[02-28 16:04:35]2004,Прическа 5, Character ID:2
[02-28 16:04:35]2005,Прическа 6, Character ID:2
[02-28 16:04:35]2006,Прическа 7, Character ID:2
[02-28 16:04:35]2007,Прическа 8, Character ID:2
[02-28 16:04:35]2008,Порученец, Character ID:2
[02-28 16:04:35]2009,Прическа 1, Character ID:2
[02-28 16:04:35]2010,Прическа 1, Character ID:2
[02-28 16:04:35]2011,Прическа 1, Character ID:2
[02-28 16:04:35]2012,Прическа 1, Character ID:2
[02-28 16:04:35]2013,Прическа 1, Character ID:2
[02-28 16:04:35]2014,Прическа 1, Character ID:2
[02-28 16:04:35]2015,Прическа 2, Character ID:2
[02-28 16:04:35]2016,Прическа 2, Character ID:2
[02-28 16:04:35]2017,Прическа 2, Character ID:2
[02-28 16:04:35]2018,Прическа 2, Character ID:2
[02-28 16:04:35]2019,Прическа 2, Character ID:2
[02-28 16:04:35]2020,Прическа 2, Character ID:2
[02-28 16:04:35]2021,Прическа 3, Character ID:2
[02-28 16:04:35]2022,Прическа 3, Character ID:2
[02-28 16:04:35]2023,Прическа 3, Character ID:2
[02-28 16:04:35]2024,Прическа 3, Character ID:2
[02-28 16:04:35]2025,Прическа 3, Character ID:2
[02-28 16:04:35]2026,Прическа 3, Character ID:2
[02-28 16:04:35]2027,Прическа 4, Character ID:2
[02-28 16:04:35]2028,Прическа 4, Character ID:2
[02-28 16:04:35]2029,Прическа 4, Character ID:2
[02-28 16:04:35]2030,Прическа 4, Character ID:2
[02-28 16:04:35]2031,Прическа 4, Character ID:2
[02-28 16:04:35]2032,Прическа 4, Character ID:2
[02-28 16:04:35]2033,Прическа 5, Character ID:2
[02-28 16:04:35]2034,Прическа 5, Character ID:2
[02-28 16:04:35]2035,Прическа 5, Character ID:2
[02-28 16:04:35]2036,Прическа 5, Character ID:2
[02-28 16:04:35]2037,Прическа 5, Character ID:2
[02-28 16:04:35]2038,Прическа 5, Character ID:2
[02-28 16:04:35]2039,Прическа 5, Character ID:2
[02-28 16:04:35]2040,Прическа 6, Character ID:2
[02-28 16:04:35]2041,Прическа 6, Character ID:2
[02-28 16:04:35]2042,Прическа 6, Character ID:2
[02-28 16:04:35]2043,Прическа 6, Character ID:2
[02-28 16:04:35]2044,Прическа 6, Character ID:2
[02-28 16:04:35]2045,Прическа 6, Character ID:2
[02-28 16:04:35]2046,Прическа 6, Character ID:2
