//ID	Name	Model	Propeller 1	Propeller 2	Propeller 3	Propeller 4	Price	Ship Durability Constant	Ship durability recovery constant	Ship defense constant	Ship Resist Constant	Ship Min Attack constant	Average ship maximum attack	Attack range constant	ReLoading time constant	Average Cannon Splash Area	Cargo Capacity Constant	Ship fuel constant	Ship fuel consumption constant	Cannon flight speed constant	Ship movement speed constant	Description (Item level)	Remark
1	Титановый корпус	2000000000	0	0	0	0	31237	4286	0	78	20	0	0	0	0	0	0	200	2	0	0	0	0
2	Серебряный дельфин	2000010000	0	0	0	0	46200	5000	0	89	20	0	0	0	0	0	0	200	3	0	0	0	0
3	Огромная белая акула	2000020000	0	0	0	0	65362	5731	0	100	20	0	0	0	0	0	0	200	3	0	0	0	0
4	Холщовый корпус	2001000000	0	0	0	0	31237	6082	0	127	25	0	0	0	0	0	0	200	2	0	0	0	0
5	Богиня	2001010000	0	0	0	0	46200	7441	0	155	25	0	0	0	0	0	0	200	3	0	0	0	0
6	Титановый корпус	2002000000	0	0	0	0	65362	8945	0	183	25	0	0	0	0	0	0	200	3	0	0	0	0
7	Ковчег	2003000000	0	0	0	0	0	1000	0	20	20	0	0	0	0	0	0	200	2	0	0	0	0
8	Обычный	0	0	0	0	0	720	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0
9	Тяжелый	0	0	0	0	0	939	0	0	0	0	0	0	0	0	0	0	330	0	0	0	0	0
10	Особый лук	0	0	0	0	0	1201	0	0	0	0	0	0	0	0	0	0	360	0	0	0	0	0
11	Вострый лук	0	0	0	0	0	1350	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0
12	Длинный лук	0	0	0	0	0	1682	0	0	0	0	0	0	0	0	0	0	430	0	0	0	0	0
13	Сталкивающий лук	0	0	0	0	0	2067	0	0	0	0	0	0	0	0	0	0	460	0	0	0	0	0
14	Судовой	0	0	0	0	0	2280	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0
15	Полуавт. весло	0	0	0	0	0	900	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0
16	Паровой двигатель	0	0	0	0	0	1331	0	0	0	0	0	0	0	0	0	0	0	0	0	460	0	0
17	Двойной паровой понтон	0	0	0	0	0	1687	0	0	0	0	0	0	0	0	0	0	0	0	0	470	0	0
18	Паровой буй	0	0	0	0	0	2335	0	0	0	0	0	0	0	0	0	0	0	0	0	480	0	0
19	Биоудар 80	0	0	0	0	0	2850	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0
20	Биомусор 90	0	0	0	0	0	3758	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0
21	Турбо-движитель	2000000002	22	0	0	0	4462	0	0	0	0	0	0	0	0	0	0	0	0	0	530	0	0
22	Движитель демона 01	2000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	Серебряный движитель 01	2000010004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	Серебряный движитель 02	2000010005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	Серебряный движитель 03	2000010006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	Серебряный движитель 04	2000010007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	Движитель белой акулы 01	2000020004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	Движитель белой акулы 02	2000020005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	Реактивный движитель 01	2001000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	Реактивный движитель 02	2001000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	Реактивный движитель 03	2001000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	Движитель богини 01	2001010004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	Движитель богини 02	2001010005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	Движитель богини 03	2001010006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	Движитель богини 04	2001010007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	Движитель рыбы-меч 01	2002000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	Движитель рыбы-меч 02	2002000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	Движитель рыбы-меч 03	2002000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	Движитель рыбы-меч 04	2002000007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	Движитель ковчега 01	2003000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	Движитель ковчега 02	2003000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	Движитель ковчега 03	2003000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	Корпус особого тату	2004000000	0	0	0	0	6300	2280	0	46	10	0	0	0	0	0	0	200	1	0	0	0	0
44	Стальной корпус	2004020000	0	0	0	0	11812	2925	0	57	15	0	0	0	0	0	0	200	1	0	0	0	0
45	Биочешуя летучей рыбки	2004010000	0	0	0	0	19950	3595	0	68	20	0	0	0	0	0	0	200	1	0	0	0	0
46	Черный понтон	2004030000	0	0	0	0	6300	2795	0	62	15	0	0	0	0	0	0	200	1	0	0	0	0
47	Двойной понтон	2004050000	0	0	0	0	11812	3766	0	82	20	0	0	0	0	0	0	200	1	0	0	0	0
48	Биочешуя меч-рыбы	2004040000	0	0	0	0	19950	4860	0	88	25	0	0	0	0	0	0	200	1	0	0	0	0
49	Низкоур. лодка 7	2004060000	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0
50	Судно 8	2004070000	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0
51	Судно 9	2004080000	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0
52	Судно 10	2004090000	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0
53	Скорострельная пушка	0	0	0	0	0	1080	0	0	0	0	167	250	0	70	0	0	0	0	0	0	0	0
54	ОСМ 350-мм пушка	0	0	0	0	0	1237	0	0	0	0	185	278	0	73	0	0	0	0	0	0	0	0
55	406-мм пушка	0	0	0	0	0	1598	0	0	0	0	204	307	0	79	0	0	0	0	0	0	0	0
56	500-мм галерная пушка	0	0	0	0	0	2025	0	0	0	0	215	322	0	85	0	0	0	0	0	0	0	0
57	800-мм пушка	0	0	0	0	0	2265	0	0	0	0	235	352	0	88	0	0	0	0	0	0	0	0
58	Титановая пушка	0	0	0	0	0	2802	0	0	0	0	255	383	0	94	0	0	0	0	0	0	0	0
59	Громовая пушка	0	0	0	0	0	3420	0	0	0	0	265	398	0	100	0	0	0	0	0	0	0	0
60	Бронебойная пушка	0	0	0	0	0	3760	0	0	0	0	287	430	0	103	0	0	0	0	0	0	0	0
61	Сдвоенная пушка	0	0	0	0	0	4510	0	0	0	0	307	461	0	109	0	0	0	0	0	0	0	0
62	Бронебойная пушка	0	0	0	0	0	5355	0	0	0	0	318	477	0	115	0	0	0	0	0	0	0	0
63	Пушка 11	0	0	0	0	0	5814	0	0	0	0	340	511	0	118	0	0	0	0	0	0	0	0
64	Пушка 12	0	0	0	0	0	6812	0	0	0	0	362	543	0	124	0	0	0	0	0	0	0	0
65	Пушка 13	0	0	0	0	0	7920	0	0	0	0	373	560	0	130	0	0	0	0	0	0	0	0
66	Пушка 14	0	0	0	0	0	8516	0	0	0	0	396	594	0	100	0	0	0	0	0	0	0	0
67	Пушка 15	0	0	0	0	0	9798	0	0	0	0	419	629	0	139	0	0	0	0	0	0	0	0
68	Пушка 16	0	0	0	0	0	11205	0	0	0	0	430	646	0	145	0	0	0	0	0	0	0	0
69	Пушка 17	0	0	0	0	0	11956	0	0	0	0	455	682	0	148	0	0	0	0	0	0	0	0
70	Пушка 18	0	0	0	0	0	13559	0	0	0	0	478	717	0	154	0	0	0	0	0	0	0	0
71	Счетверенная пушка	0	0	0	0	0	1080	0	0	0	0	138	207	0	70	0	0	0	0	0	0	0	0
72	Бронебойная пушка	0	0	0	0	0	1237	0	0	0	0	151	227	0	73	0	0	0	0	0	0	0	0
73	Рыболовная сеть	0	0	0	0	0	990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	Механическая рука	0	0	0	0	0	1134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	Легкий доспех	0	0	0	0	0	1292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	Составной доспех	0	0	0	0	0	1464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	Деталь 5	0	0	0	0	0	1652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	Деталь 6	0	0	0	0	0	1856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79	Деталь 7	0	0	0	0	0	2076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80	Деталь 8	0	0	0	0	0	2313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81	Деталь 9	0	0	0	0	0	2568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82	Деталь 10	0	0	0	0	0	2842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83	Деталь 11	0	0	0	0	0	3135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84	Деталь 12	0	0	0	0	0	3447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85	Деталь 13	0	0	0	0	0	3780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	Деталь 14	0	0	0	0	0	4134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87	Деталь 15	0	0	0	0	0	4510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88	Деталь 16	0	0	0	0	0	4908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
89	Деталь 17	0	0	0	0	0	5330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	Деталь 18	0	0	0	0	0	5775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91	Деталь 19	0	0	0	0	0	6244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92	Деталь 20	0	0	0	0	0	6739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93	Нос низкоуровневой лодки 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	Нос низкоуровневой лодки 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95	Нос низкоуровневой лодки 3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96	Нос низкоуровневой лодки 4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	Судовой лук 5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
